"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"246","1995","平成","7","2","5~6","印刷機保守業務に就いていた被災者が、自宅で就寝中に循環器系障害により死亡した(過労死)。","17","その他の事業","","","","","30~49","9","その他","99","分類不能","","","99","分類不能"
"247","1995","平成","7","2","5~6","原付バイクで新聞配達中、交差点で車と出会い頭に衝突した。","17","その他の事業","","","","","10~29","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"248","1995","平成","7","2","8~9","浮きドック内ケーソン製作現場において枠組足場を組立中、4層目布枠上から約8m下の甲板に墜落した。","3","建設業","301","土木工事業","","","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"249","1995","平成","7","2","13~14","ワゴン車内で練炭コンロにより暖を取っていたところ、一酸化炭素中毒になった。","3","建設業","301","土木工事業","","","10~29","5","物質、材料","51","危険物、有害物等","","","12","有害物等との接触"
"250","1995","平成","7","2","13~14","ワゴン車内で練炭コンロにより暖を取っていたところ、一酸化炭素中毒になった。","3","建設業","301","土木工事業","","","10~29","5","物質、材料","51","危険物、有害物等","","","12","有害物等との接触"
"251","1995","平成","7","2","13~14","ワゴン車内で練炭コンロにより暖を取っていたところ、一酸化炭素中毒になった。","3","建設業","301","土木工事業","","","10~29","5","物質、材料","51","危険物、有害物等","","","12","有害物等との接触"
"252","1995","平成","7","2","0~1","18tトレーラーで国道を走行中、カーブを曲がりきれず、35m下の谷底に墜落した。","4","運輸交通業","403","道路貨物運送業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"253","1995","平成","7","2","4~5","数値制御切断機で鋼材にマーキング作業中、壁と同切断機の間に頭部を挟まれた。","1","製造業","115","輸送用機械等製造業","","","1000~9999","1","動力機械","16","一般動力機械","","","7","はさまれ、巻き込まれ"
"254","1995","平成","7","2","5~6","トラックで高速道路を走行中、車線変更をする際、トレーラーに追突した。","4","運輸交通業","403","道路貨物運送業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"255","1995","平成","7","2","7~8","サイロ上に設けられたベルトコンベヤーの回転軸に巻き込まれた。","1","製造業","109","窯業土石製品製造業","","","30~49","2","物上げ装置、運搬機械","22","動力運搬機","","","7","はさまれ、巻き込まれ"
"256","1995","平成","7","2","8~9","外壁のモルタル工事中、足場から地上に墜落した。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"257","1995","平成","7","2","9~10","軽トラックで工事用材を運搬中、信号交差点で出会い頭にトラックと衝突した。","3","建設業","303","その他の建設業","","","1~9","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"258","1995","平成","7","2","9~10","2階建新築住宅の2階床面より身を乗り出して階段を取り付けていたところ、墜落した。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"259","1995","平成","7","2","13~14","埋め戻し作業において鋼矢板を途中から溶断中、土圧で鋼矢板が溝側に傾くように地山が移動したため、この上に仮置きしてあった履工板3枚が落下した。","3","建設業","301","土木工事業","","","1~9","5","物質、材料","52","材料","","","4","飛来、落下"
"260","1995","平成","7","2","13~14","4tトラックで町道を走行中、20m下の川に転落した。","3","建設業","301","土木工事業","","","1~9","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"261","1995","平成","7","2","14~15","山状に堆積した製品の上で、ベルトコンベヤーのトップドラム付近のガイドローラーに付着した土をハンマーで除去中、ガイドローラーに巻き込まれた。","2","鉱業","202","土石採取業","","","1~9","2","物上げ装置、運搬機械","22","動力運搬機","","","7","はさまれ、巻き込まれ"
"262","1995","平成","7","2","7~8","軽トラックで走行中、凍結路面でスリップして反対車線にはみ出し、対向車と正面衝突した。","6","農林業","601","農業","","","1~9","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"263","1995","平成","7","2","9~10","廃熱ボイラーの煙突建設工事において、ゴンドラに固定した鋼製足場に乗り内部足場を解体中、約46m下に墜落した。","3","建設業","303","その他の建設業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"264","1995","平成","7","2","10~11","米の貯蔵庫において、積み重ねられた米袋の温度を測定するため木製梯子(長さ3m)に登っていたところ、梯子が倒れコンクリート床に墜落した。","17","その他の事業","","","","","100~299","3","その他の装置等","37","用具","","","1","墜落、転落"
"265","1995","平成","7","2","11~12","工場内で製材した木材を結束作業中、後進してきたフォークリフトに轢かれた。","1","製造業","104","木材・木製品製造業","","","30~49","2","物上げ装置、運搬機械","22","動力運搬機","","","6","激突され"
"266","1995","平成","7","2","12~13","軽トラックで現場へ向かう途中、国道でセンターラインをはみ出し、対向してきた4tトラックと衝突した。","3","建設業","302","建築工事業","","","1~9","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"267","1995","平成","7","2","14~15","丸太をトラックに積み込む作業中、目落し積みで積んであった丸太が転がり落ち、付近で玉掛作業をしていた被災者に激突した。","1","製造業","104","木材・木製品製造業","","","10~29","5","物質、材料","52","材料","","","5","崩壊、倒壊"
"268","1995","平成","7","2","17~18","ダムの堰堤に設置したクローラクレーンに搬器を吊り下げ、川底から約50m地点で作業を終えた7人が搬器に乗ったところ、突然クレーンが傾いてダムの堰堤にぶつかり、4人が投げ出された。","3","建設業","301","土木工事業","","","1~9","2","物上げ装置、運搬機械","21","動力クレーン等","","","1","墜落、転落"
"269","1995","平成","7","2","9~10","バックホウのバケットに付いたフックでベトン袋(100キログラム×2)を吊上げ運搬中、バックホウが路肩より5m下に転落した。","3","建設業","301","土木工事業","","","10~29","1","動力機械","14","建設機械等","","","1","墜落、転落"
"270","1995","平成","7","2","13~14","荷崩れした木材束を移動するための段取り中、4段、4段、5段積みの状態で3列に並べられた木材束の端をフォークリフトで取ったところ、反対側の束が崩壊した。","5","貨物取扱業","502","港湾運送業","","","10~29","6","荷","61","荷","","","5","崩壊、倒壊"
"271","1995","平成","7","2","15~16","トラック(小型クレーン搭載型)で資材を運搬中、カーブを曲がりきれず4.5m下の川に転落した。","3","建設業","302","建築工事業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
