通し番号,ファイル名,カテゴリ,事故種類,出所URL,md5,説明
0048,0048.jpg,高所,はさまれ・巻き込まれ,https://www.sacl.or.jp/case/disaster/1247,ddacda744fac0f8f5ba722549acb9c99,傾斜地で車両が後進し後部と土留めブロックの間に挟まれた
0049,0049.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1251,8e97c218531e01ed9b60469da3837d66,坂上のミキサー車が作業車に激突しバスケットから墜落した
0050,0050.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1257,61ada1e78ef7be1922ac76fa62355c9b,バスケットからコンテナへ乗り移る際に約3m下へ落下した
0051,0051.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1261,dce2adf4bfceca38830ee338b4dffba4,海上ブイへ乗り移ろうとしバスケット旋回でバランスを崩し墜落した
0052,0052.jpg,高所,転倒,https://www.sacl.or.jp/case/disaster/1265,2cdfc93803d096d9da6704d1e641b47d,傾斜地で左旋回しバランスを崩して車両が転倒した
0053,0053.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1270,bfca9f3e7a8fb234ede3d4b488ab9829,トラックが電線を引掛け作業者が約8.6m下へ墜落した
0054,0054.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1274,07e8ab2b818f1b986439c4f6ac6e6365,バスケット手すりに乗り作業中バランスを崩し約10m下へ墜落した
0055,0055.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1278,7632e38493ad541a95878f495b22dc39,トラックがカゴに接触し作業員が路上へ墜落した
0056,0056.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1282,5b2d31f20845a7c5d6b8e5fb0889b5d8,街路樹作業中に作業床が揺れ約12m下の地上へ墜落した
0057,0057.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/3256,d07e1e5ddb81f224dd825afe05c7b229,外壁修繕中に作業床が建物に接触しバランスを崩し約20m墜落した
0058,0058.jpg,高所,はさまれ・巻き込まれ,https://www.sacl.or.jp/case/disaster/4043,8cc81bb8621f09ca0c0fc5235668c9ff,傾斜地で車両が前進し運転者が車両と電柱の間に挟まれた
0059,0059.jpg,高所,はさまれ・巻き込まれ,https://www.sacl.or.jp/case/disaster/5340,b4d5bb11a65ac12d757a43bd40191d4a,作業床上昇でトンネル天端と手すりの間に頭部をはさまれた
0060,0060.jpg,高所,感電,https://www.sacl.or.jp/case/disaster/5954,004220e3ce4ed8ae77bc434b5935257f,バスケットが66kV送電線に接触し作業者2名が感電した
0061,0061.jpg,高所,はさまれ・巻き込まれ,https://www.sacl.or.jp/case/disaster/6673,e822dc952647e6e1ebf0a8f247f1e7d4,傾斜地で車両が逸走しブロック塀との間に作業者が挟まれた
0062,0062.jpg,高所,転倒,https://www.sacl.or.jp/case/disaster/7409,70ff807920523f9732633fef806314a2,高所作業車がバランスを崩し2名がバスケットから投げ出された
